,num_hidden,heads,activation,feat_drop,attn_drop,negative_slope,loss_fcn,optimizer,score
56,4,1,relu,0.0,0.6,0.2,BCEWithLogitsLoss,Adadelta,0.3734436603917008
57,4,1,relu,0.0,0.6,0.2,BCEWithLogitsLoss,Adagrad,0.09108003505184752
58,4,1,relu,0.0,0.6,0.2,BCEWithLogitsLoss,Adam,0.001056292413628165
59,4,1,relu,0.0,0.6,0.2,BCEWithLogitsLoss,RMSprop,0.27611345903771134
60,4,1,relu,0.0,0.6,0.5,BCEWithLogitsLoss,Adadelta,0.00022957986884002276
61,4,1,relu,0.0,0.6,0.5,BCEWithLogitsLoss,Adagrad,0.04573385809230312
62,4,1,relu,0.0,0.6,0.5,BCEWithLogitsLoss,Adam,0.11421274101367054
63,4,1,relu,0.0,0.6,0.5,BCEWithLogitsLoss,RMSprop,0.1906289097605244
64,4,1,relu,0.1,0.0,0.01,BCEWithLogitsLoss,Adadelta,0.20574711844128019
65,4,1,relu,0.1,0.0,0.01,BCEWithLogitsLoss,Adagrad,0.0074376318421756306
66,4,1,relu,0.1,0.0,0.01,BCEWithLogitsLoss,Adam,9.994852650884794e-06
67,4,1,relu,0.1,0.0,0.01,BCEWithLogitsLoss,RMSprop,0.2889806773992061
68,4,1,relu,0.1,0.0,0.1,BCEWithLogitsLoss,Adadelta,0.0007783227145501446
69,4,1,relu,0.1,0.0,0.1,BCEWithLogitsLoss,Adagrad,0.24493528994047642
70,4,1,relu,0.1,0.0,0.1,BCEWithLogitsLoss,Adam,0.14434610944740936
71,4,1,relu,0.1,0.0,0.1,BCEWithLogitsLoss,RMSprop,0.33007934488422125
72,4,1,relu,0.1,0.0,0.2,BCEWithLogitsLoss,Adadelta,0.00968542029910857
73,4,1,relu,0.1,0.0,0.2,BCEWithLogitsLoss,Adagrad,0.09746827347397466
74,4,1,relu,0.1,0.0,0.2,BCEWithLogitsLoss,Adam,0.0013069026407414427
75,4,1,relu,0.1,0.0,0.2,BCEWithLogitsLoss,RMSprop,0.3153827710762869
76,4,1,relu,0.1,0.0,0.5,BCEWithLogitsLoss,Adadelta,0.0004993059647090544
77,4,1,relu,0.1,0.0,0.5,BCEWithLogitsLoss,Adagrad,0.004228770529638618
78,4,1,relu,0.1,0.0,0.5,BCEWithLogitsLoss,Adam,0.318917209596488
79,4,1,relu,0.1,0.0,0.5,BCEWithLogitsLoss,RMSprop,0.31263622998182944
80,4,1,relu,0.1,0.1,0.01,BCEWithLogitsLoss,Adadelta,0.18952400880979148
81,4,1,relu,0.1,0.1,0.01,BCEWithLogitsLoss,Adagrad,0.011033727208701776
82,4,1,relu,0.1,0.1,0.01,BCEWithLogitsLoss,Adam,0.19928218343356743
83,4,1,relu,0.1,0.1,0.01,BCEWithLogitsLoss,RMSprop,0.32048869979312233
84,4,1,relu,0.1,0.1,0.1,BCEWithLogitsLoss,Adadelta,0.3139892370408648
85,4,1,relu,0.1,0.1,0.1,BCEWithLogitsLoss,Adagrad,0.021070670483534885
86,4,1,relu,0.1,0.1,0.1,BCEWithLogitsLoss,Adam,0.29012308221325483
87,4,1,relu,0.1,0.1,0.1,BCEWithLogitsLoss,RMSprop,0.2940323274043658
88,4,1,relu,0.1,0.1,0.2,BCEWithLogitsLoss,Adadelta,0.09264117637532591
89,4,1,relu,0.1,0.1,0.2,BCEWithLogitsLoss,Adagrad,0.3080373364005842
90,4,1,relu,0.1,0.1,0.2,BCEWithLogitsLoss,Adam,0.3133473807370012
91,4,1,relu,0.1,0.1,0.2,BCEWithLogitsLoss,RMSprop,0.3133147131933803
92,4,1,relu,0.1,0.1,0.5,BCEWithLogitsLoss,Adadelta,0.12655401059134325
93,4,1,relu,0.1,0.1,0.5,BCEWithLogitsLoss,Adagrad,0.00032973950579042556
94,4,1,relu,0.1,0.1,0.5,BCEWithLogitsLoss,Adam,0.23588139660911975
95,4,1,relu,0.1,0.1,0.5,BCEWithLogitsLoss,RMSprop,0.31624991173216793
96,4,1,relu,0.1,0.5,0.01,BCEWithLogitsLoss,Adadelta,0.30242167584902563
97,4,1,relu,0.1,0.5,0.01,BCEWithLogitsLoss,Adagrad,0.0005787874403125451
98,4,1,relu,0.1,0.5,0.01,BCEWithLogitsLoss,Adam,0.1484976828407452
99,4,1,relu,0.1,0.5,0.01,BCEWithLogitsLoss,RMSprop,0.22575054030342584
100,4,1,relu,0.1,0.5,0.1,BCEWithLogitsLoss,Adadelta,0.2870458534275553
101,4,1,relu,0.1,0.5,0.1,BCEWithLogitsLoss,Adagrad,0.0009671131671959201
102,4,1,relu,0.1,0.5,0.1,BCEWithLogitsLoss,Adam,0.14029615066064974
103,4,1,relu,0.1,0.5,0.1,BCEWithLogitsLoss,RMSprop,0.262343702348277
104,4,1,relu,0.1,0.5,0.2,BCEWithLogitsLoss,Adadelta,0.07268300400815694
105,4,1,relu,0.1,0.5,0.2,BCEWithLogitsLoss,Adagrad,0.335505783954727
106,4,1,relu,0.1,0.5,0.2,BCEWithLogitsLoss,Adam,0.0875048835589679
107,4,1,relu,0.1,0.5,0.2,BCEWithLogitsLoss,RMSprop,0.2951712428874037
108,4,1,relu,0.1,0.5,0.5,BCEWithLogitsLoss,Adadelta,0.0008179102393384901
109,4,1,relu,0.1,0.5,0.5,BCEWithLogitsLoss,Adagrad,0.12546970242404876
110,4,1,relu,0.1,0.5,0.5,BCEWithLogitsLoss,Adam,0.00016980302848695512
111,4,1,relu,0.1,0.5,0.5,BCEWithLogitsLoss,RMSprop,0.16540593794876934
112,4,1,relu,0.1,0.6,0.01,BCEWithLogitsLoss,Adadelta,0.3821163681512675
113,4,1,relu,0.1,0.6,0.01,BCEWithLogitsLoss,Adagrad,0.09946864130086852
114,4,1,relu,0.1,0.6,0.01,BCEWithLogitsLoss,Adam,0.00018977606424419187
115,4,1,relu,0.1,0.6,0.01,BCEWithLogitsLoss,RMSprop,0.17658845753226346
116,4,1,relu,0.1,0.6,0.1,BCEWithLogitsLoss,Adadelta,0.29436451374084616
117,4,1,relu,0.1,0.6,0.1,BCEWithLogitsLoss,Adagrad,0.07068592090273369
118,4,1,relu,0.1,0.6,0.1,BCEWithLogitsLoss,Adam,0.09776503821867731
119,4,1,relu,0.1,0.6,0.1,BCEWithLogitsLoss,RMSprop,0.1953084488350223
120,4,1,relu,0.1,0.6,0.2,BCEWithLogitsLoss,Adadelta,0.12494251908366423
121,4,1,relu,0.1,0.6,0.2,BCEWithLogitsLoss,Adagrad,0.2808757219696182
122,4,1,relu,0.1,0.6,0.2,BCEWithLogitsLoss,Adam,0.16571317100853003
123,4,1,relu,0.1,0.6,0.2,BCEWithLogitsLoss,RMSprop,0.34203428830086197
124,4,1,relu,0.1,0.6,0.5,BCEWithLogitsLoss,Adadelta,0.2815763068538671
125,4,1,relu,0.1,0.6,0.5,BCEWithLogitsLoss,Adagrad,0.0005787989920914103
126,4,1,relu,0.1,0.6,0.5,BCEWithLogitsLoss,Adam,0.33898589213082647
127,4,1,relu,0.1,0.6,0.5,BCEWithLogitsLoss,RMSprop,0.29837183489974684
128,4,1,relu,0.5,0.0,0.01,BCEWithLogitsLoss,Adadelta,0.2993791477282287
129,4,1,relu,0.5,0.0,0.01,BCEWithLogitsLoss,Adagrad,0.2019012408972586
130,4,1,relu,0.5,0.0,0.01,BCEWithLogitsLoss,Adam,0.05316016764428831
131,4,1,relu,0.5,0.0,0.01,BCEWithLogitsLoss,RMSprop,0.06425127691059239
132,4,1,relu,0.5,0.0,0.1,BCEWithLogitsLoss,Adadelta,0.24157905764324542
133,4,1,relu,0.5,0.0,0.1,BCEWithLogitsLoss,Adagrad,0.34948216131899223
134,4,1,relu,0.5,0.0,0.1,BCEWithLogitsLoss,Adam,0.32980470928142225
135,4,1,relu,0.5,0.0,0.1,BCEWithLogitsLoss,RMSprop,0.18993751015514873
136,4,1,relu,0.5,0.0,0.2,BCEWithLogitsLoss,Adadelta,0.0003194808436291027
137,4,1,relu,0.5,0.0,0.2,BCEWithLogitsLoss,Adagrad,0.34463993138179494
138,4,1,relu,0.5,0.0,0.2,BCEWithLogitsLoss,Adam,0.0003294087113631032
139,4,1,relu,0.5,0.0,0.2,BCEWithLogitsLoss,RMSprop,0.04869690159167804
140,4,1,relu,0.5,0.0,0.5,BCEWithLogitsLoss,Adadelta,0.3019467744252425
141,4,1,relu,0.5,0.0,0.5,BCEWithLogitsLoss,Adagrad,1.9987507807620237e-05
142,4,1,relu,0.5,0.0,0.5,BCEWithLogitsLoss,Adam,0.03984933521976632
143,4,1,relu,0.5,0.0,0.5,BCEWithLogitsLoss,RMSprop,0.31795088410949585
144,4,1,relu,0.5,0.1,0.01,BCEWithLogitsLoss,Adadelta,0.2475113852911728
145,4,1,relu,0.5,0.1,0.01,BCEWithLogitsLoss,Adagrad,0.18473409323752138
146,4,1,relu,0.5,0.1,0.01,BCEWithLogitsLoss,Adam,0.2530729269245547
147,4,1,relu,0.5,0.1,0.01,BCEWithLogitsLoss,RMSprop,0.003566642922256151
148,4,1,relu,0.5,0.1,0.1,BCEWithLogitsLoss,Adadelta,0.000647700662647601
149,4,1,relu,0.5,0.1,0.1,BCEWithLogitsLoss,Adagrad,0.28748326030710025
