,num_hidden,heads,activation,feat_drop,attn_drop,negative_slope,loss_fcn,optimizer,score
60,4,4,method,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
61,4,4,method,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.311530112555204
62,4,4,method,0,0,0.01,BCEWithLogitsLoss,Adam,0.0
63,4,4,method,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.2990834385593136
64,4,8,relu,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
65,4,8,relu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.3228209352624716
66,4,8,relu,0,0,0.01,BCEWithLogitsLoss,Adam,0.006282263805299603
67,4,8,relu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.2019618399800402
68,4,8,elu,0,0,0.01,BCEWithLogitsLoss,Adadelta,3.997281848343126e-05
69,4,8,elu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.3017421241388114
70,4,8,elu,0,0,0.01,BCEWithLogitsLoss,Adam,0.000878782885703301
71,4,8,elu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.3179086420816482
72,4,8,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adadelta,9.994952548962773e-06
73,4,8,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.31422041845620396
74,4,8,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adam,0.03971633957761372
75,4,8,leaky_relu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.3267152296760694
76,4,8,method,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
77,4,8,method,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.33473814664711476
78,4,8,method,0,0,0.01,BCEWithLogitsLoss,Adam,0.0
79,4,8,method,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.2489208994177876
80,4,16,relu,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
81,4,16,relu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.30647292993630576
82,4,16,relu,0,0,0.01,BCEWithLogitsLoss,Adam,0.0010485111142178106
83,4,16,relu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.28059287085051654
84,4,16,elu,0,0,0.01,BCEWithLogitsLoss,Adadelta,1.998920582885242e-05
85,4,16,elu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.31670213852086293
86,4,16,elu,0,0,0.01,BCEWithLogitsLoss,Adam,0.0002398177385187258
87,4,16,elu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.3211107487303732
88,4,16,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
89,4,16,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.3048715896284084
90,4,16,leaky_relu,0,0,0.01,BCEWithLogitsLoss,Adam,0.0001898784777742245
91,4,16,leaky_relu,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.324780530001052
92,4,16,method,0,0,0.01,BCEWithLogitsLoss,Adadelta,0.0
93,4,16,method,0,0,0.01,BCEWithLogitsLoss,Adagrad,0.3162180093670379
94,4,16,method,0,0,0.01,BCEWithLogitsLoss,Adam,0.0
95,4,16,method,0,0,0.01,BCEWithLogitsLoss,RMSprop,0.28243545297873957
