"","Date","Apple returns","Russell returns"
"1","2016-04-25","-11.9890838527833","-1.26033744791352"
"2","2016-05-02","-1.09408515820286","-0.561794771954016"
"3","2016-05-09","-1.79433444492951","-0.581591294468975"
"4","2016-05-16","5.06190586623259","0.377335674248425"
"5","2016-05-23","5.24741106501545","2.33495612829158"
"6","2016-05-30","-2.45131573477804","0.177742270595438"
"7","2016-06-06","0.925033738665659","-0.196341467503913"
"8","2016-06-13","-3.605636663749","-1.20589829192506"
"9","2016-06-20","-2.04533958950237","-1.64662302563467"
"10","2016-06-27","2.63104481453396","3.10535818345326"
"11","2016-07-04","0.820472454716947","1.31839352839718"
"12","2016-07-11","2.1488678707251","1.52967748291903"
"13","2016-07-18","-0.121546596161659","0.644028199347524"
"14","2016-07-25","5.47281488797218","0.0545262965460758"
"15","2016-08-01","3.08967587891336","0.414159505097356"
"16","2016-08-08","1.18942147399586","0.044195258093449"
"17","2016-08-15","1.08489564680214","0.0325425070196061"
"18","2016-08-22","-2.23775471278458","-0.587496115125763"
"19","2016-08-29","0.736040182205455","0.6362994761691"
"20","2016-09-05","-4.36378847178465","-2.45234314670517"
"21","2016-09-12","10.8246031218911","0.469557492127226"
"22","2016-09-19","-1.94180981889129","1.34959728089061"
"23","2016-09-26","0.301203214844348","0.119176547420086"
"24","2016-10-03","0.889419013981962","-0.781498209007658"
"25","2016-10-10","3.08196454624143","-1.06559856664541"
"26","2016-10-17","-0.879473834853961","0.407547191535951"
"27","2016-10-24","-2.50100790655172","-0.918722467392463"
"28","2016-10-31","-4.38603357567269","-1.92571736238927"
"29","2016-11-07","0.134696815560575","4.2325956231962"
"30","2016-11-14","1.49207483012654","1.10529332678757"
"31","2016-11-21","1.55965207805102","1.55463226156005"
"32","2016-11-28","-1.70512211695542","-1.14183931542593"
"33","2016-12-05","3.61889559063537","3.27284488550381"
"34","2016-12-12","1.75718502095297","-0.316772038882185"
"35","2016-12-19","0.473132829575862","0.26702344564713"
"36","2016-12-26","-0.60256880523335","-1.08739368692001"
"37","2017-01-02","1.78843112312195","1.66288195834943"
"38","2017-01-09","0.95381561884782","-0.0110803372372459"
"39","2017-01-16","0.803220012332551","-0.281068824089381"
"40","2017-01-23","1.61192106242147","1.06020791142249"
"41","2017-01-30","5.68212930790466","0.204998202699969"
"42","2017-02-06","2.3278093116474","0.822324483010473"
"43","2017-02-13","3.12098136326466","1.40173316258503"
"44","2017-02-20","0.690207698381595","0.539295721440958"
"45","2017-02-27","2.2573431353313","0.564006456132038"
"46","2017-03-06","-0.458921546561086","-0.675048237424924"
"47","2017-03-13","0.609074977489632","0.450535216850056"
"48","2017-03-20","0.463214596181194","-1.60241600450064"
"49","2017-03-27","2.12460090476116","0.970807649594896"
"50","2017-04-03","-0.222994501932394","-0.419716180995433"
"51","2017-04-10","-1.61047490985222","-1.14290967055677"
"52","2017-04-17","0.861200497972847","1.04685199994972"
"53","2017-04-24","0.965323707426968","1.4631073359217"
"54","2017-05-01","3.6297948533746","0.524481168807789"
"55","2017-05-08","4.68189278805631","-0.46018121421989"
"56","2017-05-15","-1.55475865188599","-0.41406291001147"
"57","2017-05-22","0.358684955050848","1.37219904075048"
"58","2017-05-29","1.19072077049505","1.05432418970421"
"59","2017-06-05","-4.25122236546494","-0.22732366150775"
"60","2017-06-12","-4.60851215272728","-0.0277592037680741"
"61","2017-06-19","2.77957565820439","0.256468773555252"
"62","2017-06-26","-1.55704775353951","-0.536558759125505"
"63","2017-07-03","0.111011711317666","0.0201841386497037"
"64","2017-07-10","3.31525693636507","1.35600419314805"
"65","2017-07-17","0.821880368765404","0.544939167487435"
"66","2017-07-24","-0.513706865787489","-0.0717081791168361"
"67","2017-07-31","4.50563802983828","0.0566888556915224"
"68","2017-08-07","0.694555179476364","-1.59201696104514"
"69","2017-08-14","0.404631117965204","-0.683638206758364"
"70","2017-08-21","1.48732673691465","0.823688774546216"
"71","2017-08-28","2.5872612048182","1.51886105677255"
"72","2017-09-04","-3.35967575949971","-0.69846219317915"
"73","2017-09-11","0.784905941716518","1.63777953510174"
"74","2017-09-18","-5.12669478334717","0.241714282653405"
"75","2017-09-25","1.45747516927637","0.844118166720431"
"76","2017-10-02","0.762713333991805","1.2136512443635"
"77","2017-10-09","1.08236974741343","0.0792499508182054"
"78","2017-10-16","-0.472506492735736","0.808656787778261"
"79","2017-10-23","4.25997262695805","0.172718251450643"
"80","2017-10-30","5.63404128205356","0.159371969275579"
"81","2017-11-06","1.25011334893319","-0.312445020067376"
"82","2017-11-13","-2.26294214239462","0.0549748372612235"
"83","2017-11-20","2.79339588391521","1.00389141708863"
"84","2017-11-27","-2.26585401753434","1.42334480789605"
"85","2017-12-04","-0.987040916870541","0.221991390784559"
"86","2017-12-11","2.67973061431914","0.807252577457884"
"87","2017-12-18","0.596025651556475","0.389237200896986"
"88","2017-12-25","-3.35845769437713","-0.345629193176666"
"89","2018-01-01","3.35274879840277","2.40949785550661"
"90","2018-01-08","1.18718635970718","1.5908606022716"
"91","2018-01-15","0.77065964440286","0.804711574998063"
"92","2018-01-22","-3.97229609247209","2.00011589658171"
"93","2018-01-29","-6.63475817505716","-3.89182725918582"
"94","2018-02-05","-2.5813267635419","-5.22834005605288"
"95","2018-02-12","10.1579467086255","4.24100755578776"
"96","2018-02-19","1.76478924087355","0.506288981548053"
"97","2018-02-26","0.403729559148491","-1.88980732736219"
"98","2018-03-05","2.11691826739879","3.52399276202853"
"99","2018-03-12","-1.09498709081985","-1.14577854314488"
"100","2018-03-19","-7.63141278387951","-5.90262961161931"
