,practice_region,month,Anesthetists,Dentists,GPs,Gynaecologists,Midwives,Non-surgical specialists,Nurses,Osteopaths,Other non-doctors,Pediatricians,Physiotherapists,Psychologists,Radiologists,Surgeons
42,Auvergne-Rhône-Alpes,2021-07-01,63.483333333333334,113.3078171641791,108.6990207833733,94.30428954423593,102.80167650531287,99.73303468208093,107.19347826086955,114.82544631838748,114.64329582747304,99.31479289940829,103.50445989304812,119.74620180475799,129.0,90.87846361185984
43,Auvergne-Rhône-Alpes,2021-08-01,63.483333333333334,113.43913825757575,107.76614325068871,94.37104557640751,101.72516801853999,99.24513544668588,101.64107142857142,115.04353609083536,113.99538461538462,99.54823529411765,105.41631634819532,120.59089576547231,129.0,90.21080213903743
44,Auvergne-Rhône-Alpes,2021-09-01,87.45227272727273,112.52725925925927,102.98570848708488,94.56636842105263,101.35779867256637,99.68046875,101.59857142857142,114.87402029664324,113.9107962328767,95.84342857142856,100.85293834296725,121.84104055087987,129.0,89.60245406824149
45,Auvergne-Rhône-Alpes,2021-10-01,89.4860465116279,113.68167120799274,104.59145988112928,95.30242744063325,102.29079382579934,100.20900665926749,107.85774647887324,115.54632108317215,115.16547271970012,96.68734463276836,101.2551603773585,122.58004507888806,0.0,90.12706718346254
46,Auvergne-Rhône-Alpes,2021-11-01,89.4860465116279,114.23263726372637,105.49416451493913,95.52198433420365,103.63783185840708,101.65498037016263,106.77794117647058,118.04869362363918,118.57028740490279,99.70269005847953,102.4678119180633,123.86768413059984,0.0,92.73963254593177
47,Auvergne-Rhône-Alpes,2021-12-01,89.71860465116279,120.66481316725978,114.14591122338506,104.09420365535249,111.39772481040087,109.29903954802259,111.72098765432098,124.40431599229288,124.54407844791228,111.2953846153846,111.37732044198896,129.1684328358209,0.0,101.92755208333334
48,Auvergne-Rhône-Alpes,2022-01-01,93.9127659574468,121.62677737881509,113.38024170274171,103.62398416886543,109.0890361445783,108.89401133144476,120.3929292929293,122.78478625954199,123.58290161892903,110.00533707865169,110.85124780316345,127.42361516034987,0.0,101.65300907911804
49,Auvergne-Rhône-Alpes,2022-02-01,93.9127659574468,123.35674743709227,113.52076308139536,103.62398416886543,109.20859357696567,109.10724118316269,120.20306122448979,122.82286042944786,123.62226391231029,110.02344632768363,111.16405501330968,127.75236686390534,0.0,101.53868318122555
50,Bourgogne-Franche-Comté,2018-01-01,69.0,100.94827586206897,93.87951807228916,87.73888888888888,109.0,98.89347826086957,0.0,106.14285714285714,100.39,71.70833333333333,107.0,85.375,0.0,87.80147058823529
51,Bourgogne-Franche-Comté,2018-02-01,69.0,100.94827586206897,94.23529411764706,87.73888888888888,109.0,98.06494845360824,0.0,106.43589743589743,100.02666666666667,76.03125,107.0,85.375,0.0,87.80147058823529
52,Bourgogne-Franche-Comté,2018-03-01,69.0,101.46774193548387,95.35795454545455,88.28421052631579,90.83333333333333,98.28585858585858,0.0,106.67441860465117,102.43414634146342,81.23684210526316,107.0,84.16666666666667,0.0,88.1086956521739
53,Bourgogne-Franche-Comté,2018-04-01,69.0,95.71621621621621,95.95108695652173,88.28421052631579,90.83333333333333,96.5490909090909,0.0,100.28571428571429,101.64318181818182,81.23684210526316,107.33333333333333,84.16666666666667,0.0,86.96571428571428
54,Bourgogne-Franche-Comté,2018-05-01,69.0,95.71621621621621,96.03465346534654,78.52083333333333,114.0,97.84424778761061,0.0,100.78846153846153,99.98541666666667,81.23684210526316,107.57142857142857,84.16666666666667,0.0,87.3138888888889
55,Bourgogne-Franche-Comté,2018-06-01,69.0,97.7439024390244,93.0860655737705,78.14166666666667,113.28571428571429,98.03826086956522,0.0,101.0925925925926,99.98541666666667,75.5,107.57142857142857,87.71428571428571,0.0,86.89722222222223
56,Bourgogne-Franche-Comté,2018-07-01,69.0,96.65116279069767,95.4776119402985,80.51538461538462,112.75,97.94873949579832,0.0,101.23636363636363,99.256,82.625,107.75,90.375,0.0,87.9
57,Bourgogne-Franche-Comté,2018-08-01,69.0,98.51136363636364,92.34814814814816,80.51538461538462,112.0,97.7075,0.0,100.69827586206897,99.44705882352942,82.625,107.75,92.44444444444444,0.0,87.64800000000001
58,Bourgogne-Franche-Comté,2018-09-01,69.0,97.9701754385965,94.06410256410257,81.31724137931033,112.0,95.13404255319149,0.0,100.25147058823529,99.52307692307693,77.77499999999999,107.64444444444445,95.675,0.0,87.87613636363636
59,Bourgogne-Franche-Comté,2018-10-01,69.0,98.56029411764706,93.03915343915345,85.12941176470588,108.33333333333333,97.03795180722891,0.0,96.31095890410958,102.1263157894737,84.80645161290323,100.213,97.42142857142858,0.0,86.20102040816327
60,Bourgogne-Franche-Comté,2018-11-01,69.0,98.63026315789473,96.55871559633027,84.61521739130436,104.064,97.19709302325582,0.0,100.18829787234043,102.52345679012345,83.6875,101.67750000000001,98.86875,0.0,85.6078431372549
61,Bourgogne-Franche-Comté,2018-12-01,69.0,98.86794871794872,96.95,85.7,104.064,96.92569832402235,109.0,100.65096153846154,96.5,83.6875,103.14200000000001,98.86875,0.0,83.51512605042016
62,Bourgogne-Franche-Comté,2019-01-01,69.0,99.83417721518987,96.92731092436975,86.61372549019609,104.064,96.3601092896175,109.0,96.03949579831934,96.80927835051547,84.45454545454545,103.14200000000001,97.60000000000001,0.0,83.60487804878049
63,Bourgogne-Franche-Comté,2019-02-01,69.0,100.43086419753087,99.30791666666667,86.61372549019609,104.42962962962963,88.48480392156864,109.0,97.4902985074627,97.05555555555556,84.45454545454545,103.508125,99.15454545454546,0.0,83.34444444444445
