MoM Growth Rate,Location,Speciality,1/2/22,1/3/22,1/1/23,1/1/24,1/1/25,1/1/26,1/1/27,Profit,,2/1/22
0.044788371,Auvergne-Rhône-Alpes,Osteopaths,2003,2092.711106,3243.340745,5486.969379,9282.661099,15704.07836,26567.6054,"1,563.96 €",,
0.050731533,Bourgogne-Franche-Comté,Osteopaths,338,355.1472581,582.5404993,1054.938915,1910.418443,3459.630295,6265.14145,"1,563.16 €",,
0.054084227,Bretagne,Osteopaths,641,675.6679896,1144.159293,2152.733505,4050.363939,7620.751943,14338.43009,"1,551.39 €",,
0.04399641,Centre-Val de Loire,Osteopaths,338,352.8707866,542.7574056,909.9003262,1525.393472,2557.230917,4287.044674,"1,591.01 €",,
0.122033386,Corse,Osteopaths,50,56.1016693,177.4326662,706.4849789,2813.016543,11200.60908,44597.54925,"1,426.06 €",,
0.09110472,DOM-TOM,Osteopaths,42,45.82639823,109.5923069,312.0162997,888.3303399,2529.133233,7200.603899,"1,385.56 €",,
0.046018814,Grand Est,Osteopaths,625,653.7617585,1025.213865,1759.091462,3018.299768,5178.885627,8886.081039,"1,565.44 €",,
0.041624789,Hauts-de-France,Osteopaths,809,842.6744541,1266.989151,2066.848183,3371.663766,5500.218469,8972.544508,"1,591.09 €",,
0.020098632,Île-de-France,Osteopaths,3910,3988.585652,4866.767237,6179.403569,7846.076585,9962.275016,12649.24226,"1,582.58 €",,
0.043103894,Normandie,Osteopaths,397,414.1122459,631.5296416,1047.911337,1738.822848,2885.267856,4787.589841,"1,526.70 €",,
0.04518057,Nouvelle-Aquitaine,Osteopaths,1262,1319.017879,2051.936693,3487.063755,5925.920461,10070.51656,17113.84831,"1,536.13 €",,
0.044455068,Occitanie,Osteopaths,1278,1334.813577,2062.140399,3475.324553,5856.963354,9870.738462,16635.15236,"1,528.08 €",,
0.045733036,Pays de la Loire,Osteopaths,790,826.1290984,1291.981219,2209.561725,3778.818873,6462.581205,11052.38363,"1,571.25 €",,
0.04678006,Provence-Alpes-Côte d'Azur,Osteopaths,1423,1489.568025,2352.961127,4072.677728,7049.289376,12201.42718,21119.12523,"1,516.59 €",,
0.05011276,Auvergne-Rhône-Alpes,Other non-doctors,2319,2435.211491,3970.964847,7140.47778,12839.80718,23088.18168,41516.52172,"1,333.88 €",,
0.05541206,Bourgogne-Franche-Comté,Other non-doctors,413,435.885181,747.4680448,1427.766745,2727.230808,5209.385848,9950.643282,"1,375.37 €",,
0.053376992,Bretagne,Other non-doctors,748,787.9259901,1325.329023,2473.600997,4616.741795,8616.710953,16082.27424,"1,388.93 €",,
0.066052279,Centre-Val de Loire,Other non-doctors,495,527.6958779,1000.388589,2155.315053,4643.578536,10004.48709,21554.4458,"1,378.71 €",,
0.098151926,Corse,Other non-doctors,55,60.39835592,154.0456333,473.8037809,1457.295595,4482.257289,13786.24246,"1,195.22 €",,
0.045827587,DOM-TOM,Other non-doctors,26,27.19151726,42.5632103,72.8711292,124.7603607,213.5982766,365.6948688,925.09 €,,
0.057560069,Grand Est,Other non-doctors,907,959.206983,1678.660142,3285.665255,6431.079107,12587.64216,24637.97015,"1,330.65 €",,
0.057946114,Hauts-de-France,Other non-doctors,1391,1471.603044,2584.795282,5081.462466,9989.673446,19638.7509,38607.92236,"1,395.90 €",,
0.035372048,Île-de-France,Other non-doctors,6707,6944.240323,9830.805456,14919.22739,22641.41499,34360.60455,52145.64308,"1,337.37 €",,
